Race,Year,Murder,Rape,Felony Sex,Robbery,Fel Assault,G Larceny,Shooting
AMERICAN INDIAN,2023,0,3,1,22,89,32,1
ASIAN,2023,22,58,47,329,1397,475,12
BLACK,2023,291,289,214,6494,11196,4919,377
WHITE,2023,16,50,75,537,1574,1224,12
HISPANIC,2023,140,274,337,3587,7915,3905,184
AMERICAN INDIAN,2022,0,3,2,10,80,27,0
ASIAN,2022,16,65,46,298,1320,449,16
BLACK,2022,295,294,253,5985,10459,4575,477
WHITE,2022,18,49,75,496,1460,1088,14
HISPANIC,2022,181,315,323,3136,6699,2840,203
AMERICAN INDIAN,2021,0,1,0,8,83,13,0
ASIAN,2021,15,38,44,227,1061,279,11
BLACK,2021,283,274,227,4607,8819,3251,448
WHITE,2021,18,31,73,485,1310,918,15
HISPANIC,2021,142,259,337,2495,5305,2188,215
AMERICAN INDIAN,2020,0,5,1,16,43,13,0
ASIAN,2020,15,43,46,262,883,261,9
BLACK,2020,219,253,156,4688,7322,3447,412
WHITE,2020,13,38,44,420,1182,914,10
HISPANIC,2020,117,229,248,2538,4787,1887,156
AMERICAN INDIAN,2019,0,2,2,9,47,10,0
ASIAN,2019,11,62,50,295,1008,590,5
BLACK,2019,210,361,269,5477,8162,5086,257
WHITE,2019,12,59,88,479,1308,1348,10
HISPANIC,2019,127,403,369,2969,5215,2804,87
AMERICAN INDIAN,2018,1,3,2,9,47,10,0
ASIAN,2018,5,53,48,288,940,589,4
BLACK,2018,194,347,241,5443,8176,5349,70
WHITE,2018,15,58,83,513,1269,1456,77
HISPANIC,2018,108,340,349,2744,5215,2923,2
AMERICAN INDIAN,2017,1,0,2,10,31,19,1
ASIAN,2017,18,38,37,296,870,640,6
BLACK,2017,181,327,218,5785,8169,4891,294
WHITE,2017,23,57,57,487,1305,1446,12
HISPANIC,2017,107,261,299,2969,5171,2707,98
AMERICAN INDIAN,2016,0,2,0,20,47,20,0
ASIAN,2016,14,54,38,315,881,573,5
BLACK,2016,183,335,253,6094,8240,5110,313
WHITE,2016,25,53,70,580,1352,1463,11
HISPANIC,2016,125,312,305,3174,5205,2718,135
AMERICAN INDIAN,2015,0,0,2,11,45,19,0
ASIAN,2015,7,49,39,290,809,501,4
BLACK,2015,181,352,207,6650,7681,4900,354
WHITE,2015,21,54,69,559,1392,1324,15
HISPANIC,2015,95,337,284,3234,5046,2715,146
AMERICAN INDIAN,2014,0,1,0,10,47,20,0
ASIAN,2014,10,39,40,274,822,528,7
BLACK,2014,231,331,260,6250,8251,4812,375
WHITE,2014,11,44,88,620,1349,1623,6
HISPANIC,2014,119,351,274,3008,5040,2797,115
