stop_location_precinct,total_stops,population,stops_per_1000
1,921,84799,10.860977134164317
5,1146,50598,22.64911656587217
6,905,64643,13.999969060841854
7,1339,57985,23.0921790118134
9,1829,75951,24.081315585048255
10,886,65570,13.512276955924966
13,2010,100050,20.089955022488756
14,2472,28050,88.12834224598932
17,670,89367,7.497174572269406
18,1206,67528,17.859258381708326
19,1995,220261,9.05743640499226
20,1221,114575,10.656775038184595
22,342,129,2651.162790697674
23,3310,74769,44.26968395992992
24,1748,107489,16.262129148098875
25,2785,50996,54.61212644128952
26,903,50002,18.059277628894844
28,1729,49200,35.142276422764226
30,1334,60456,22.06563451104936
32,2209,81240,27.191038897095027
33,1289,71598,18.003296181457582
34,1826,108608,16.81275780789629
40,4747,100929,47.033062846159176
41,2457,54454,45.12065229367907
42,3163,93755,33.736867367073756
43,3212,188015,17.08374331835226
44,4072,150436,27.067989045175356
45,1411,130799,10.787544247280179
46,4482,132584,33.80498401013697
47,2448,163539,14.968906499367122
48,2740,89216,30.711979913916785
49,2616,119881,21.82163979279452
50,1357,106976,12.685088244092132
52,2862,146888,19.48423288491912
60,2707,109024,24.829395362488995
61,1321,169513,7.79291263796877
62,1783,198870,8.965655956152261
63,1656,112652,14.700138479565387
66,2072,205377,10.088763590859736
67,4048,162446,24.919050022776798
68,727,136071,5.342798979944293
69,2029,90763,22.354924363452067
70,2079,164568,12.633075689076856
71,2102,102000,20.607843137254903
72,1422,133230,10.673271785633867
73,3139,98506,31.866079223600593
75,4540,200994,22.587738937480722
76,1376,47789,28.793236937370526
77,1968,101267,19.433774082376292
78,1010,73203,13.797248746636066
79,3767,106039,35.52466545327662
81,1641,68921,23.809869270614183
83,1975,120747,16.35651403347495
84,2662,65597,40.58112413677455
88,1203,64372,18.68824954949357
90,2075,131377,15.79424100108847
94,1048,72748,14.405894320118765
100,967,50809,19.03206124899132
101,2584,73376,35.21587440034889
102,2420,153297,15.786349374090815
103,1960,121059,16.190452589233352
104,1507,178948,8.421440865502827
105,3450,199218,17.317712254916724
106,5877,129391,45.42046973900813
107,2651,161402,16.424827449473984
108,788,137962,5.711717719372001
109,2337,269581,8.669008572562605
110,1491,181051,8.23524863160104
111,1359,122211,11.120111937550629
112,1719,119739,14.356224788915892
113,1997,135221,14.76841614837932
114,3657,208525,17.537465531710826
115,1379,179134,7.698147755311666
120,3646,122308,29.809987899401513
121,3536,128149,27.592880162935334
122,2265,144552,15.669101776523327
123,987,100738,9.797693025472016
